UID,Variable Name,Short Name,Scale,Domain,Concept Group,Units,Effective Analytical Resolution,Notes,Description
1,climate_zone_kopp_geig,Climate Zone,Macroregional,Climate,Climate Patterns,categorical code,"Macroregional (~50,000–100,000 sq-km) ","Provides broad climate context (e.g., humid continental vs semi-arid). Useful for regional stratification.",Zonal assignment of dominant Köppen-Geiger climate class from 1 km raster (1980–2016) calculated across custom macrozones.
2,phzm_zone_count,PHZM Zone Count,Macroregional,Climate,Climate Patterns,count,"Macroregional (~50,000–100,000 sq-km) ","Reflects cold tolerance diversity; transitional zones may affect vegetation, snowmelt, soil freeze–thaw.",Count of unique USDA Plant Hardiness Zones based on 30-year cold temp normals (1991–2020) calculated across custom macrozones.
3,phzm_zone_majority,PHZM Zone (Dominant),Macroregional,Climate,Climate Patterns,categorical code,"Macroregional (~50,000–100,000 sq-km) ","Reflects dominant cold tolerance regime based on minimum winter temps. Useful for snowmelt timing, freeze–thaw effects.",Zonal majority of USDA Plant Hardiness Zones based on 30-year cold temp normals (1991–2020) calculated across custom macrozones.
4,temp_ann_med,Annual Temp (Median),Regional,Climate,Climate Patterns,degrees C,"1–4 sq-km, informed from 800 sq-m PRISM data","Governs evapotranspiration, freeze–thaw, snowpack formation. Baseline thermal regime.","Zonal median of annual mean temperature from PRISM 1991–2020 normals, calculated across Level II ecoregions."
5,prec_ann_med,Annual Precip (Median),Regional,Climate,Climate Patterns,mm,"1–4 sq-km, informed from 800 sq-m PRISM data","Typical annual moisture supply; important for soil moisture, runoff potential, vegetation productivity.","Zonal median of total annual precipitation from PRISM 1991–2020 normals, calculated across Level II ecoregions."
6,prec_ann_pct_may_aug_mean,% Annual Precip May–Aug (Mean),Regional,Climate,Climate Patterns,"proportion [0, 1]","1–4 sq-km, informed from 800 sq-m PRISM data",Characterizes warm-season water input. Relevant to storm-driven systems (convective seasonality).,"Zonal mean percentage of total annual precipitation falling May–August from PRISM 1991–2020 normals, calculated across Level II ecoregions."
7,prec_ann_pct_may_aug_med,% Annual Precip May–Aug (Median),Regional,Climate,Climate Patterns,"proportion [0, 1]","1–4 sq-km, informed from 800 sq-m PRISM data","Captures 'typical' warm-season dominance, important for Great Plains hydrology.","Zonal median percentage of total annual precipitation falling May–August from PRISM 1991–2020 normals, calculated across Level II ecoregions."
8,prec_seas_stdev,Seasonal Precip StDev,Subregional,Climate,Climate Variability,mm,"1–4 sq-km, informed from 800 sq-m PRISM data",Captures variability across seasons. Sensitive to outliers—useful for detecting flashiness or hydrologic irregularity.,"Standard deviation of seasonal precip totals from PRISM 1991–2020 normals, calculated across Level III ecoregions."
9,prec_seas_iqr,Seasonal Precip IQR,Subregional,Climate,Climate Variability,mm,"1–4 sq-km, informed from 800 sq-m PRISM data",Seasonality spread (middle 50%). Robust alternative to StDev for characterizing intra-annual precipitation variability.,"IQR (25th–75th percentile) of seasonal precip totals from PRISM 1991–2020 normals, calculated across Level III ecoregions."
10,prec_fall_med,Fall Precip (Median),Subregional,Climate,Climate Variability,mm,"1–4 sq-km, informed from 800 sq-m PRISM data","Fall recharge, baseflow resetting; marks transition from convective to frontal systems.","Sum of zonal medians of fall monthly precip totals (Sep–Nov) from PRISM 1991–2020 normals, calculated across Level III ecoregions."
