US_L4CODE,macrozone,estimated_koppen,vege_lnd_use,hydrology,terrain,eco_level
25a,shortgrass,BSk,"buffalo grass, blue gramma, galleta; mostly rangeland",intermittent streams; perennial rivers,diverse from gently sloping to very steep,L4
25b,shortgrass,Cfa,"rangeland; sandsage association: Havard shin oak, big sandreed, little bluestem, sand dropseed",low drainage density; occasional intermittent or spring fed streams,sandy undulating plains with small scattered areas of active sand dunes,L4
25c,shortgrass,Cfa,mixed-grass in north; shortgrass in south,mostly intermittent streams,moderate slope irregular loess and colluvial plains,L4
25d,shortgrass,Cfa,mixed-grass in north; shortgrass in south,mostly intermittent streams,flat to rolling loess plains,L4
25e,shortgrass,Cfa,"Short and sandsage prairie: blue, black, and hairy grama, buffalograss, silver bluestem",intermittent or spring fed streams,nearly level to rolling plains dissected by stream channels; some aeolean deposits,L4
25f,shortgrass,BSk,ponderosa and lumber pine,likely intermittent to ephemeral,"Steep slopes, escarpments, river breaks, slump areas; calcareous soils",L4
25g,shortgrass,BSk,gramma and buffalo grass; mesquite-buffalo grass,likely ephemeral due to deep permeable soils,tablelands; fine to loamy sands interspersed with lamellae,L4
25h,shortgrass,BSk,"mostly croplands;grasslands, wet meadows",shallow streams; braided channels,wide alluvial valleys,L4
25i,shortgrass,BSk,"blue, black, and hairy grama, buffalograss, silver bluestem, sideoats grama, western wheatgrass",few permanant streams; surface water in numerous ephemeral pools or playas,"flat expansive plateau; mesas, tablelands",L4
25j,shortgrass,BSk or BSh,sand shinnery oak shrubs,low drainage density; occasional intermittent or spring fed streams,sand hills and dunes as well as flat sandy recharge areas,L4
25k,shortgrass,BSk; transitional to Chihauhuan desert,"rangeland ;gramma and buffalo grass, silver bluestem, sand dropseed, threeawn","few to no streams, surface water in numerous ephemeral pools","level, elevated plain, decreasing in elevation from west to east",L4
25l,shortgrass,BSk,gramma and buffalograss,"cooler streams, perhaps intermittent to perannial","higher elevation; aluvial fans, terraces, and benches; outwash gravels",L4
26a,mixed,BSk,"gramma buffalo grass, little and big bluestem","streams intermittent or spring fed, salty and sometimes turbid","Tablelands, terraces, and broken topography",L4
26b,mixed,BSk; transition from subhumid (C) to semiarid (BS) climate,cultivated agriculture; rangelands,"Intermittent streams and meandering rivers w broad sandy channels, high sediment load",Flat to gently rolling valleys and plains; islands of level land between 26c ecoregions,L4
26c,shortgrass,BSk,"Blue grama, buffalo grass",Intermittent or springfed streams,"Steep canyons, escarpments, rounded badlands, and dissected river breaks",L4
