uid,variable_name,short_name,dataset,description,notes,unit,effective_analytical_resolution,scale,scale_ordinal,domain,domain_cat,concept_group,concept_group_cat,raster_subfolder,raster_file_name,zonal_subfolder,zonal_file_name,layer_name
1,long_dd,Longitude,USGS station data,"Point-based (gage-level) data used as a station-level predictors, not derived from zonal aggregation.","Represents site location in degrees east or west. Useful for detecting climatic or physiographic gradients (moisture availability, storm type).",decimal degrees,Point-defined (gage-level metadata),Station,0,Climate,A,Climate Patterns,A,peakflow_gages,UPDATE AS POINT DATA,NA,NA,NA
2,lat_dd,Latitude,USGS station data,"Point-based (gage-level) data used as a station-level predictors, not derived from zonal aggregation.","Represents site location in degrees north. Commonly used to capture latitudinal patterns in climate and hydrology (e.g., temperature, seasonality).",decimal degrees,Point-defined (gage-level metadata),Station,0,Climate,A,Climate Patterns,A,peakflow_gages,UPDATE AS POINT DATA,NA,NA,NA
3,altitude,Station Altitude,USGS station data,"Point-based (gage-level) data used as a station-level predictors, not derived from zonal aggregation.","Elevation of the gage site above sea level. Influences temperature, snowpack, and runoff timing",meters,Point-defined (gage-level metadata),Station,0,Topography,C,Topography,E,peakflow_gages,UPDATE AS POINT DATA,NA,NA,NA
4,wtsd_area,Watershed Area,USGS station data,"Point-based (gage-level) data used as a station-level predictors, not derived from zonal aggregation.",Commonly used as a spatial predictor in hydrologic modeling.,watershed area (sq-km),Point-defined (gage-level metadata),Station,0,Watershed Metrics,D,Watershed Metrics,G,peakflow_gages,UPDATE AS POINT DATA,NA,NA,NA
5,kopp_geig_dom,Climate Zone,Koppen Geiger,"Dominant Koppen Geiger climate class, aggregated to macroregional zones.","Provides broad-scale climate context (e.g., humid continental vs. semi-arid). Useful for regional stratification.",categorical code,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Climate,A,Climate Patterns,A,koppen_climate,koppen_geiger.tif,us_ecoregions,us_eco_levels.gpkg,NA
6,phzm_cnt,PHZM Zone Count,Plant Hardiness Zone,"Count of unique USDA Plant Hardiness Zones, aggregated to macroregional zones.","Reflects cold hardiness diversity; transitional zones may influence vegetation, snowmelt timing, and freeze-thaw cycles.",count,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Climate,A,Climate Patterns,A,phzm,phzm.tif,us_ecoregions,us_eco_levels.gpkg,NA
7,phzm_dom,PHZM Zone (Dominant),Plant Hardiness Zone,"Dominant USDA Plant Hardiness Zone, aggregated to macroregional zones.",Captures dominant cold tolerance regime based on minimum winter temperatures. Relevant for snowmelt timing and freeze-thaw sensitivity.,categorical code,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Climate,A,Climate Patterns,A,phzm,phzm.tif,us_ecoregions,us_eco_levels.gpkg,NA
8,nlcd_cultiv_prop,NLCD Cultivated Fraction,NLCD 2016 Land Cover,"Proportion of NLCD cultivated land: cropland (81), aggregated to macroregional zones.","Indicates anthropogenic land use in agricultural regions. Associated with increased runoff, reduced infiltration, and higher ET demand.",proportion [0 to 1],"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Land Cover,B,Land Cover,C,nlcd,nlcd_2016_gp.tif,us_ecoregions,us_eco_levels.gpkg,NA
9,nlcd_forst_prop,NLCD Forest Fraction,NLCD 2016 Land Cover,"Proportion of NLCD forested land: deciduous (41), evergreen ( 42), mixed (43), aggregated to macroregional zones.",Forest cover enhances interception and storage. Typically reduces peak flows and lowers skew.,proportion [0 to 1],"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Land Cover,B,Land Cover,C,nlcd,nlcd_2016_gp.tif,us_ecoregions,us_eco_levels.gpkg,NA
10,nlcd_range_prop,NLCD Rangeland Fraction,NLCD 2016 Land Cover,"Proportion of NLCD shrubland (52), grassland (71) and pastureland (82),, aggregated to macroregional zones.",Moderates evapotranspiration and infiltration rates; especially important in mixed rangeland systems.,proportion [0 to 1],"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Land Cover,B,Land Cover,C,nlcd,nlcd_2016_gp.tif,us_ecoregions,us_eco_levels.gpkg,NA
