UID,Variable Name,Short Name,Dataset,Description,Notes,Unit,Effective Analytical Resolution,Scale,Scale Ordinal,Domain,Domain Ordinal,Concept Group,Concept Group Ordinal
1,longitude,Longitude,USGS station data,"Point-based (gage-level) metadata used as a station-level predictors, not derived from zonal aggregation.","Represents site location in degrees east or west. Useful for detecting climatic or physiographic gradients (moisture availability, storm type).",decimal degrees,Point-defined (gage-level metadata),Station,0,Climate,1,Climate Patterns,1
2,latitude,Latitude,USGS station data,"Point-based (gage-level) metadata used as a station-level predictors, not derived from zonal aggregation.","Represents site location in degrees north. Commonly used to capture latitudinal patterns in climate and hydrology (e.g., temperature, seasonality).",decimal degrees,Point-defined (gage-level metadata),Station,0,Climate,1,Climate Patterns,1
3,altitude,Station Altitude,USGS station data,"Point-based (gage-level) metadata used as a station-level predictors, not derived from zonal aggregation.","Elevation of the gage site above sea level. Influences temperature, snowpack, and runoff timing",meters,Point-defined (gage-level metadata),Station,0,Topography,3,Topography,5
4,wtsd_area,Watershed Area,USGS station data,"Point-based (gage-level) metadata used as a station-level predictors, not derived from zonal aggregation.",Commonly used as a spatial predictor in hydrologic modeling.,watershed area (sq-km),Point-defined (gage-level metadata),Station,0,Watershed Metrics,4,Watershed Metrics,7
5,climate_zone_kopp_geig,Climate Zone,Koppen Geiger,"Dominant Koppen Geiger climate class, aggregated to macroregional zones.","Provides broad-scale climate context (e.g., humid continental vs. semi-arid). Useful for regional stratification.",categorical code,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Climate,1,Climate Patterns,1
6,phzm_zone_count,PHZM Zone Count,Plant Hardiness Zone,"Count of unique USDA Plant Hardiness Zones, aggregated to macroregional zones.","Reflects cold hardiness diversity; transitional zones may influence vegetation, snowmelt timing, and freeze-�thaw cycles.",count,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Climate,1,Climate Patterns,1
7,phzm_zone_majority,PHZM Zone (Dominant),Plant Hardiness Zone,"Dominant USDA Plant Hardiness Zone, aggregated to macroregional zones.",Captures dominant cold tolerance regime based on minimum winter temperatures. Relevant for snowmelt timing and freeze-thaw sensitivity.,categorical code,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Climate,1,Climate Patterns,1
8,frac_nlcd_cropland,Cropland Fraction,NLCD Land Cover 2016,"Fraction of cropland (NLCD), aggregated to macroregional zones.","Indicates anthropogenic land use in agricultural regions. Associated with increased runoff, reduced infiltration, and higher ET demand.",proportion [0 to 1],"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Land Cover,2,Land Cover,3
9,frac_nlcd_forest,Forest Fraction,NLCD Land Cover 2016,"Fraction of forested land (NLCD), aggregated to macroregional zones.",Forest cover enhances interception and storage. Typically reduces peak flows and lowers skew.,proportion [0 to 1],"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Land Cover,2,Land Cover,3
10,frac_nlcd_grassland,Grassland Fraction,NLCD Land Cover 2016,"Fraction of grassland (NLCD), aggregated to macroregional zones.",Moderates evapotranspiration and infiltration rates; especially important in mixed rangeland systems.,proportion [0 to 1],"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Land Cover,2,Land Cover,3
11,frac_nlcd_urban,Urban Fraction,NLCD Land Cover 2016,"Fraction of urban land (NLCD), aggregated to macroregional zones.",Urban development increases imperviousness; strongly associated with peak flow generation and positive flood skew.,proportion [0 to 1],"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Land Cover,2,Land Cover,3
12,slope_mean,Mean Slope,NED Elevation,"Mean slope (from NED), aggregated to macroregional zones.",Describes average terrain steepness. Helps distinguish rugged uplands from flatter plains.,degrees,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Topography,3,Topography,5
13,slope_median,Median Slope,NED Elevation,"Median slope (from NED), aggregated to macroregional zones.",Reflects typical terrain slope. More robust to outliers than the mean; useful for evaluating runoff tendency.,degrees,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Topography,3,Topography,5
14,altitude_zone,Altitude Zone,USGS station data,"Mean elevation of gage locations, aggregated to macroregional zones.","Represents elevational regime. Influences climate, snow duration, and runoff seasonality.",meters,"~50,000 to 100,000 sq-km (macroregional zone level)",Macroregional,1,Topography,3,Topography,5
15,prec_ann_med,Annual Precip (Median),PRISM annual pct,"Zonal median of total annual precipitation from PRISM 1991 to 2020 climatological normals, aggregated to Level II ecoregions.","Represents typical annual moisture supply; important for soil moisture availability, runoff potential, and vegetation productivity.",mm,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,1,Climate Patterns,1
16,temp_ann_med,Annual Temp (Median),PRISM annual temp,"Zonal median of total annual precipitation from PRISM 1991 to 2020 climatological normals, aggregated to Level II ecoregions.","Governs evapotranspiration, freeze thaw, and snowpack formation. Represents the baseline thermal regime.",degrees C,"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,1,Climate Patterns,1
17,prec_ann_pct_may_aug_mean,Pct Annual Precip May–Aug (Mean),PRISM monthly pct,"Zonal mean of the percentage of annual precipitation falling May to August from PRISM 1991 to 2020 climatological normals, aggregated to Level II ecoregions.",Characterizes warm-season water input. Useful for identifying storm-driven systems tied to convective seasonality.,proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,1,Climate Variability,2
18,prec_ann_pct_may_aug_med,Pct Annual Precip May–Aug (Median),PRISM monthly pct,"Zonal mean of the percentage of annual precipitation falling May to August from PRISM 1991 to 2020 climatological normals, aggregated to Level II ecoregions.","Captures the typical proportion of precipitation falling in the warm season, which is important for Great Plains hydrology.",proportion [0 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Climate,1,Climate Variability,2
19,ndvi_amplitude_2016_modis,NDVI Amplitude,MODIS 2016,"Zonal median of annual NDVI amplitude for 2016 MODIS data, aggregated to Level II ecoregions.",Captures seasonal variation in greenness. High amplitude reflects strong vegetation response to climate fluctuations.,unitless [minus 1 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Land Cover,2,Vegetation Indices,4
20,ndvi_iqr_2016_modis,NDVI IQR,MODIS 2016,"Zonal median of the interquartile range (IQR) of NDVI values for 2016 MODIS data, aggregated to Level II ecoregions.",Describes central spread of seasonal greenness. Robust to outliers and well-suited to fragmented or transitional landscapes.,unitless [minus 1 to 1],"~50,000 to 100,000 sq-km, based on Level II ecoregion size and heterogeneity",Regional,2,Land Cover,2,Vegetation Indices,4
